code,name,sub_industry
000001,平安银行,股份制银行
000002,万 科Ａ,住宅开发
000004,*ST国华,基础软件
000006,深振业Ａ,住宅开发
000007,全新好,商业物业经营
000008,神州高铁,轨交设备
000009,中国宝安,电池化学品
000010,*ST美丽,园林工程
000011,深物业A,物业管理
000012,南 玻Ａ,玻璃制造
000014,沙河股份,住宅开发
000016,*ST康佳A,电视
000017,深中华A,钟表珠宝
000019,深粮控股,粮油加工
000020,深华发Ａ,面板
000021,深科技,消费电子组件
000025,特 力Ａ,综合类
000026,飞亚达,钟表珠宝
000027,深圳能源,火力发电
000028,国药一致,医药流通
000029,深深房Ａ,住宅开发
000030,富奥股份,底盘与发动机系统
000031,大悦城,商业地产
000032,深桑达Ａ,其他专业工程
000034,神州数码,其他云服务
000035,中国天楹,固废治理
000036,华联控股,住宅开发
000037,深南电A,火力发电
000039,中集集团,金属制品
000042,中洲控股,住宅开发
000045,深纺织Ａ,光学元件
000048,京基智农,生猪养殖
000049,德赛电池,锂电池
000050,深天马Ａ,面板
000055,方大集团,其他建材
000056,*ST皇庭,商业物业经营
000058,深 赛 格,商业物业经营
000059,华锦股份,炼油化工
000060,中金岭南,铅锌
000061,农 产 品,商业物业经营
000062,深圳华强,其他电子
000063,中兴通讯,系统设备
000065,北方国际,国际工程
000066,中国长城,其他IT设备
000068,华控赛格,水治理
000069,华侨城Ａ,住宅开发
000070,特发信息,光纤光缆
000078,ST海王,医药流通
000088,盐 田 港,港口
000089,深圳机场,机场
000090,天健集团,基建工程
000096,广聚能源,石油贸易
000099,中信海直,航空运输
000100,TCL科技,面板
000151,中成股份,贸易
000153,丰原药业,化学制剂
000155,川能动力,风力发电
000156,华数传媒,广播电视
000157,中联重科,工程机械整机
000158,常山北明,行业应用软件
000159,国际实业,石油贸易
000166,申万宏源,证券
000301,东方盛虹,涤纶
000333,美的集团,空调
000338,潍柴动力,底盘与发动机系统
000400,许继电气,电网自动化
000401,金隅冀东,水泥制造
000402,金 融 街,商业地产
000403,派林生物,血液制品
000404,长虹华意,家电零部件
000407,胜利股份,燃气
000408,藏格矿业,钾肥
000409,云鼎科技,行业应用软件
000410,沈阳机床,机床制造
000411,英特集团,医药流通
000415,渤海租赁,租赁
000417,合百集团,百货
000419,通程控股,多业态零售
000420,吉林化纤,粘胶纤维
000421,南京公用,燃气
000422,湖北宜化,磷肥及磷化工
000423,东阿阿胶,中药
000425,徐工机械,工程机械整机
000426,兴业银锡,铅锌
000428,华天酒店,酒店
000429,粤高速Ａ,高速公路
000430,张家界,旅游景区
000488,ST晨鸣,大宗用纸
000498,山东路桥,基建工程
000501,武商集团,百货
000503,国新健康,行业应用软件
000504,*ST生物,其他医疗服务
000505,京粮控股,粮油加工
000506,招金黄金,黄金
000507,珠海港,风力发电
000509,华塑控股,面板
000510,新金路,氯碱
000513,丽珠集团,化学制剂
000514,渝 开 发,住宅开发
000516,国际医学,医院
000517,荣安地产,住宅开发
000518,四环生物,基因药物
000519,中兵红箭,地面兵装
000520,凤凰航运,航运
000521,长虹美菱,冰洗
000523,红棉股份,制糖业
000524,岭南控股,旅游服务
000525,红太阳,农药
000526,学大教育,教育培训
000528,柳 工,工程机械整机
000529,广弘控股,肉制品
000530,冰山冷热,制冷空调设备
000531,穗恒运Ａ,火力发电
000532,华金资本,投资管理
000533,顺钠股份,输变电设备
000534,万泽股份,其他生物制药
000536,华映科技,面板
000537,绿发电力,风力发电
000538,云南白药,中药
000539,粤电力Ａ,火力发电
000541,佛山照明,LED
000543,皖能电力,火力发电
000544,中原环保,水治理
000545,金浦钛业,钛白粉
000546,金圆股份,固废治理
000547,航天发展,军工电子
000548,湖南投资,高速公路
000550,江铃汽车,商用载货车
000551,创元科技,环保设备
000552,甘肃能化,动力煤
000553,安道麦A,农药
000554,泰山石油,石油贸易
000555,神州信息,行业应用软件
000557,西部创业,铁路运输
000558,天府文旅,旅游景区
000559,万向钱潮,底盘与发动机系统
000560,我爱我家,租赁经纪
000561,烽火电子,航天装备
000563,陕国投Ａ,信托
000564,供销大集,百货
000565,渝三峡Ａ,涂料油墨
000566,海南海药,化学制剂
000567,海德股份,其他金融服务
000568,泸州老窖,白酒
000570,苏常柴Ａ,内燃机
000571,新大洲A,动力煤
000572,海马汽车,综合乘用车
000573,粤宏远Ａ,住宅开发
000576,甘化科工,地面兵装
000581,威孚高科,底盘与发动机系统
000582,北部湾港,港口
000586,汇源通信,光纤光缆
000589,贵州轮胎,轮胎轮毂
000590,古汉医药,中药
000591,太阳能,光伏发电
000592,平潭发展,林业
000593,德龙汇能,燃气
000595,*ST宝实,风力发电
000596,古井贡酒,白酒
000597,东北制药,化学制剂
000598,兴蓉环境,水务
000599,青岛双星,轮胎轮毂
000600,建投能源,火力发电
000601,韶能股份,水力发电
000603,盛达资源,白银
000605,渤海股份,水务
000607,华媒控股,其他广告营销
000608,阳光股份,商业地产
000609,*ST中迪,住宅开发
000610,*ST西旅,旅游服务
000612,焦作万方,铝
000615,*ST美谷,医美服务
000617,中油资本,金融控股
000619,海螺新材,其他建材
000620,盈新发展,住宅开发
000623,吉林敖东,中药
000625,长安汽车,综合乘用车
000626,远大控股,贸易
000628,高新发展,房屋建设
000629,钒钛股份,其他金属
000630,铜陵有色,铜
000631,顺发恒能,综合类
000632,ST三木,贸易
000633,合金投资,其他金属新材料
000635,英 力 特,氯碱
000636,风华高科,被动元件
000637,茂化实华,其他石化
000638,*ST万方,粮油加工
000639,ST西王,粮油加工
000650,仁和药业,中药
000651,格力电器,空调
000652,泰达股份,贸易
000655,金岭矿业,铁矿石
000656,*ST金科,住宅开发
000657,中钨高新,钨钼
000659,珠海中富,塑料包装
000661,长春高新,基因药物
000663,永安林业,林业
000665,湖北广电,广播电视
000668,*ST荣控,住宅开发
000669,ST金鸿,燃气
000670,盈方微,其他电子
000672,上峰水泥,水泥制造
000676,智度股份,互联网广告
000677,ST海龙,涤纶
000678,襄阳轴承,底盘与发动机系统
000679,大连友谊,百货
000680,山推股份,工程机械整机
000681,视觉中国,文字图片媒体
000682,东方电子,电网自动化
000683,博源化工,纯碱
000685,中山公用,水务
000686,东北证券,证券
000688,国城矿业,铅锌
000690,宝新能源,火力发电
000691,*ST亚太,其他化学原料
000692,惠天热电,热力服务
000695,滨海能源,电池化学品
000697,炼石航空,航空装备
000698,ST沈化,炼油化工
000700,模塑科技,车身附件及饰件
000701,厦门信达,贸易
000702,正虹科技,畜禽饲料
000703,恒逸石化,涤纶
000705,浙江震元,医药流通
000707,双环科技,纯碱
000708,中信特钢,特钢
000709,河钢股份,板材
000710,贝瑞基因,诊断服务
000711,ST京蓝,生态修复
000712,锦龙股份,证券
000713,国投丰乐,种子
000715,中兴商业,百货
000716,黑芝麻,其他食品
000717,中南股份,长材
000718,苏宁环球,住宅开发
000719,中原传媒,大众出版
000720,新能泰山,线缆部件及其他
000721,西安饮食,餐饮
000722,湖南发展,水力发电
000723,美锦能源,焦炭加工
000725,京东方Ａ,面板
000726,鲁 泰Ａ,棉纺制品
000727,冠捷科技,面板
000728,国元证券,证券
000729,燕京啤酒,啤酒
000731,四川美丰,氮肥
000733,振华科技,军工电子
000735,罗 牛 山,生猪养殖
000736,*ST中地,住宅开发
000737,北方铜业,铜
000738,航发控制,航空装备
000739,普洛药业,原料药
000750,国海证券,证券
000751,锌业股份,铅锌
000752,*ST西发,啤酒
000753,漳州发展,综合类
000755,山西高速,高速公路
000756,新华制药,原料药
000757,浩物股份,汽车综合服务
000758,中色股份,铅锌
000759,中百集团,超市及便利店
000761,本钢板材,板材
000762,西藏矿业,锂
000766,通化金马,化学制剂
000767,晋控电力,火力发电
000768,中航西飞,航空装备
000776,广发证券,证券
000777,中核科技,机械基础件
000778,新兴铸管,其他钢材
000779,甘咨询,工程咨询服务
000782,恒申新材,锦纶
000783,长江证券,证券
000785,居然智家,商业物业经营
000786,北新建材,其他建材
000788,北大医药,化学制剂
000789,万年青,水泥制造
000790,华神科技,中药
000791,甘肃能源,水力发电
000792,盐湖股份,钾肥
000793,*ST华闻,其他出版
000795,英洛华,磁性材料
000796,凯撒旅业,旅游服务
000797,中国武夷,住宅开发
000798,中水渔业,水产捕捞
000799,酒鬼酒,白酒
000800,一汽解放,商用载货车
000801,四川九洲,其他黑色家电
000802,北京文化,影视制作
000803,山高环能,固废治理
000807,云铝股份,铝
000809,和展能源,风电零部件
000810,创维数字,其他黑色家电
000811,冰轮环境,制冷空调设备
000812,陕西金叶,纸包装
000813,德展健康,化学制剂
000815,美利云,云基础设施服务
000816,智慧农业,内燃机
000818,航锦科技,氯碱
000819,岳阳兴长,其他石化
000820,*ST节能,综合类
000821,ST京机,光伏加工设备
000822,山东海化,纯碱
000823,超声电子,PCB
000825,太钢不锈,特钢
000826,*ST启环,固废治理
000828,东莞控股,高速公路
000829,天音控股,专业连锁
000830,鲁西化工,煤化工
000831,中国稀土,稀土
000833,粤桂股份,综合类
000837,秦川机床,机床制造
000838,*ST发展,住宅开发
000839,国安股份,电信增值服务
000848,承德露露,软饮料
000850,华茂股份,棉纺制品
000852,石化机械,能源及重型设备
000856,冀东装备,其他专用设备
000858,五 粮 液,白酒
000859,国风新材,塑料薄膜
000860,顺鑫农业,白酒
000862,银星能源,风力发电
000863,三湘印象,住宅开发
000868,安凯客车,商用载客车
000869,张 裕Ａ,葡萄酒
000875,电投绿能,电能综合服务
000876,新 希 望,畜禽饲料
000877,天山股份,水泥制造
000878,云南铜业,铜
000880,潍柴重机,内燃机
000881,中广核技,其他化学制品
000882,华联股份,百货
000883,湖北能源,水力发电
000885,城发环境,固废治理
000886,海南高速,住宅开发
000887,中鼎股份,其他汽车零部件
000888,峨眉山Ａ,旅游景区
000889,中嘉博创,网络优化运维
000890,法尔胜,水治理
000892,欢瑞世纪,影视制作
000893,亚钾国际,钾肥
000895,双汇发展,肉制品
000897,津滨发展,住宅开发
000898,鞍钢股份,板材
000899,赣能股份,火力发电
000900,现代投资,高速公路
000901,航天科技,汽车电子电气系统
000902,新洋丰,复合肥
000903,ST云动,底盘与发动机系统
000905,厦门港务,港口
000906,浙商中拓,供应链服务
000908,ST景峰,化学制剂
000909,*ST数源,住宅开发
000910,大亚圣象,家具
000911,*ST广糖,制糖业
000912,泸天化,氮肥
000913,钱江摩托,摩托车
000915,华特达因,化学制剂
000917,电广传媒,其他广告营销
000919,金陵药业,化学制剂
000920,沃顿科技,其他塑料制品
000921,海信家电,空调
000922,佳电股份,电机制造
000923,河钢资源,铁矿石
000925,众合科技,轨交设备
000926,福星股份,住宅开发
000927,中国铁物,供应链服务
000928,中钢国际,国际工程
000929,*ST兰黄,啤酒
000930,中粮科技,其他农产品加工
000931,中 关 村,化学制剂
000932,华菱钢铁,板材
000933,神火股份,铝
000935,四川双马,水泥制造
000936,华西股份,涤纶
000937,冀中能源,炼焦煤
000938,紫光股份,其他IT设备
000948,南天信息,行业应用软件
000949,新乡化纤,氨纶
000950,重药控股,医药流通
000951,中国重汽,商用载货车
000952,广济药业,原料药
000953,中哲精化,原料药
000955,欣龙控股,其他纺织
000957,中通客车,商用载客车
000958,电投产融,核力发电
000959,首钢股份,板材
000960,锡业股份,其他金属
000962,东方钽业,其他金属
000963,华东医药,化学制剂
000965,天保基建,住宅开发
000966,长源电力,火力发电
000967,盈峰环境,环保设备
000968,蓝焰控股,油气开采
000969,安泰科技,其他金属新材料
000970,中科三环,磁性材料
000972,*ST中基,果蔬加工
000973,佛塑科技,塑料薄膜
000975,山金国际,黄金
000977,浪潮信息,其他IT设备
000978,桂林旅游,旅游景区
000980,众泰汽车,其他汽车零部件
000981,山子高科,底盘与发动机系统
000983,山西焦煤,炼焦煤
000985,大庆华科,合成树脂
000987,越秀资本,金融控股
000988,华工科技,激光设备
000989,九芝堂,中药
000990,诚志股份,煤化工
000993,闽东电力,水力发电
000995,皇台酒业,白酒
000997,新 大 陆,其他IT设备
000998,隆平高科,种子
000999,华润三九,中药
001201,东瑞股份,生猪养殖
001202,炬申股份,供应链服务
001203,大中矿业,铁矿石
001205,盛航股份,航运
